date,place,lat,lon,district,summary,level,type,description,start,end,side1,side3,side_others,links,Дата публікації (якщо можна встановити),arguments,hatespeech,hatespeech_call,hatespeech_comments,court_string,court_logical,appeal,appeal_logical
27.10.2018 22:31:52,"Україна, Одеська область, Ізмаїльський район, Утконосівка",45.4971217,28.9576947,Ізмаїльський,"Місцеві фемрмери та бізнесмени-перекупники не домовились стосовно цін на продуцію, що переросло у стрілянину.",помірно гострий,бізнесовий,"Конфлікт стався на сільському стадіоні, де відносини з'ясовували місцеві жителі і приїжджі бізнесмени, які скуповують сільгосппродукцію у жителів села. Спілкування переросло в конфлікт, який завершився стріляниною.

У поліції повідомили про те, що в результаті конфлікту, одну особу було поранено, її госпіталізовано, її життю нічого не загрожує. Автомобіль марки BMW, з якого робилися постріли, виявлений, затриманий і перебуває на штрафному майданчику Ізмаїльського міськвідділу поліції.",06.06.2018,07.06.2018,Місцеві жителі,Бізнесмени перекупники.,Немає,"<a href =""https://www.segodnya.ua/regions/odessa/v-odesskoy-oblasti-konflikt-mezhdu-selyanami-i-biznesmenami-zakonchilsya-strelboy-1144882.html"" target=""_blank"">Лінк 1</a> <a href =""http://gorod24.info/kriminal/4534-v-sele-utkonosovka-izmailskogo-rajona-strelyali"" target=""_blank"">Лінк 2</a>
",07.06.2018,Використання вогнепальної зброі - чого раніше не траплялось.,FALSE,FALSE,FALSE,подано до суду,TRUE,,FALSE
27.10.2018 23:41:13,"Україна, Одеська область, Ізмаїльський район, Озерне",45.4065229,28.672854,Ізмаїльський,Жителі Озерного наполягають на достроковому припиненні повноважень секретаря сільради Павла Ниці.,помірно гострий,управлінський,"Місцеві жителі звинувачують виконуючого обов'язки голови сільради Павла Ніцу в погрозах, рейдерстві, підкупі і махінаціях в продажу землі громади та наполягають (шляхом відкритого голосування депутатів сільради) на достроковому припиненні його повноважень.
Чиновник відмовляється виконувати волю народу і саботує передачу повноважень новому главі.",08.10.2018,27.10.2018,Місцеві жителі,В.о. сільского голови Павел Ніца,-,"<a href=""http://1izmail.com/archives/video/socialnyj-konflikt-v-ozernom?fbclid=IwAR3xg4V9j84wgAk0yPjMluFDquwXA-KFfTD9rIBxbSIQuKLCaj7l4aWIbaM"" target=""_blank"">Лінк1</a>

<a href=""http://izmail.es/article/35998/?fbclid=IwAR3Zjt6XHy8pr-CP87BFYAQGLi-FknzFwpEo58KemVzBK19oWJyMZw-Rr74"" target=""_blank"">Лінк2</a>

<a href=""http://izmail.es/article/36024/?fbclid=IwAR1cZ5FgIeGNXRSb-MbD274X_WFZjJsh72dsQb9-FBVrAs--yGoPNRDQodM"" target=""_blank"">Лінк3</a>",11.10.2018,"Махінаціі, рейдерство, погрози...",FALSE,FALSE,FALSE,Невідомо,FALSE,,FALSE
28.10.2018 00:09:03,"Україна, Одеська область, Ренійський район, Новосільське",45.3370744,28.5719416,Ренійський,У Ренійському районі правоохоронців звинувачують у бездіяльності розслідувань про рейдерські захоплення і вбивство місцевого фермера.,помірно гострий,девіантний (пов’язаний із вчиненням злочинів),"Останнім часом в Ренійському районі було здійснено ряд резонансних злочинів, в тому числі викрадення і вбивство в селі Новосільське місцевого фермера Петра Карагяура і кримінального авторитета Юрія Асаржі, стрілянина в Орлівці, обстріл автомобіля фермера Миколи Долапчі на дорозі між селами Нагірне і Котловина, а також інші злочини пов'язані з рейдерськими захопленнями земель. У більшості випадків правоохоронні органи демонструють або бездіяльність, або відверте небажання захищати закон.",08.10.2017,28.10.2018,Вдова убитого фермера з села Новосільське Ренійського району,Правоохоронні органи,-,"<a href=""http://topor.od.ua/vdova-ubitogo-fermera-iz-sela-novoselyskoe-reniyskogo-rayona-publitchno-obvinila-pravoohraniteley-v-bezdeystvii/"" target=""_blank"">Лінк1</a>
<a href=""http://blog.i.ua/search/?type=label&words=286626&fbclid=IwAR2mG6voEPWn6kNLIz8zJ6-lazjbruMVaD5R6O3xsdiQlP_7ppnngfPWcEM"" target=""_blank"">Лінк2</a>",24.10.2018,"Вбивство, рейдерство, бездіяльність влади.",FALSE,FALSE,FALSE,Невідомо,FALSE,,FALSE
28.10.2018 00:33:54,"Україна, Одеська область, Ізмаїл",45.3501944,28.8501919,Ізмаїльський,В Ізмаїлі несподівано померло немовля. Батьки грішать на щеплення.,помірно гострий,медичний,"Батьки вважають, що дівчинка загинула через планове щеплення, яке робили дитины за кілька днів до смерті. Медичні працівники таку можливість заперечують, стверджуючи, що всі вакцини перевірені і є якісними. В даний час призначена відповідна експертиза, для якої відібрано біоматеріали.
Ця подія спровокувала нову хвилю руху проти щеплень в регіоні.",16.10.2018,28.10.2018,Батьки дитини.,Медичні працівникі.,-,"<a href=""https://bessarabiainform.com/2018/10/v-izmaile-vo-sne-neozhidanno-umer-grudnoj-rebenok-roditeli-greshat-na-privivku/"" target=""_blank"">Лінк1</a>
<a href=""https://newsone.ua/news/accidents/v-izmaile-mladenets-umer-vo-sne-spustja-paru-dnej-posle-privivki.html"" target=""_blank"">Лінк2</a>
<a href=""https://gordonua.com/news/localnews/v-izmaile-posle-privivki-umer-shestimesyachnyy-rebenok-otkryto-ugolovnoe-proizvodstvo-policiya-439049.html"" target=""_blank"">Лінк3</a>",17.10.2018,"Поширення думки, що вакцини шкідливі і смертельно небезпечні.",FALSE,FALSE,FALSE,подано до суду,TRUE,,FALSE
29.10.2018 21:18:48,"Україна, Одеська область, Ізмаїл",45.3501944,28.8501919,Ізмаїльський,Жителі Ізмаїла протестують проти бездіяльності місцевого прокурора і начальника міліції.,помірно гострий,девіантний (пов’язаний із вчиненням злочинів),"Жителі Ізмаїла вийшли на мітинг біля міського відділу міліції. Приводом стало незадоволення роботою міліції в цілому,  бездіяльність в розкритті резонансних злочинів, корупцією і невиконанням своїх прямих службових обов'язків начальником міліції Максимом Моканом та прокурором Сергієм Калініним.
Зокрема мітингувальники  вимагають реальних дій по тридцяти нелегальним точкам поширення наркотиків в Ізмаїлі, розслідування резонансного вбивства дівчини в вересні 2014 го, залучення до відповідальності за різанину в нічному клубі «Облака», масові підпали автомобілів і офісів.",15.01.2015,,Мешканці міста,"Правоохоронні органи, прокуротур.",-,"<a href=""https://bessarabiainform.com/2015/01/v-izmaile-mitinguyut-protiv-xalatnosti-milicii-foto/?fbclid=IwAR2Jj-kqmkRdk7Y34vVQsM3exH_4K3aIyhrj9rIxheCs1eXw3MryzFfIyk4"" target=""_blank"">Лінк1</a>
<a href=""http://izmail.es/print_version/article/19505/"" target=""_blank"">Лінк1</a>
<a href=""https://antikor.com.ua/articles/24626-hiteli_izmaila_vyshli_na_protest_protiv_prokurora_i_nachaljnika_militsii"" target=""_blank"">Лінк1</a>",15.01.2015,"Повна бездіяльність міліції у розкритті місцевих резонансних злочинів, підозра в корупційних діях співробітниками міліції та прокуротури.",FALSE,FALSE,TRUE,Невідомо,FALSE,,FALSE
29.10.2018 22:10:41,"Україна, Одеська область, Ізмаїльський район,  Лощинівка",45.4745893,28.8210627,Ізмаїльський,Циганський погром після вбивства дитини.,гострий,міжнаціональний,"Після жорстокого вбивства місцевої 9-річної дівчинки відбулося народне повстання жителів проти осіб ромської національності  що проживають в селі.
Обурення людей викликане тим, що підозрюваним у скоєнні цього звірячого злочину виявився ром.
Люди відзначають, що особи даної національності в їхньому селі з'явилися близько трьох років тому. За цей час вони регулярно займалися грабежами, розповсюдженням наркотиків, вимаганням, залякуванням місцевого населення, побиттям, а тепер ось, дійшло до вбивства дитини, що і стало для місцевих останньою краплею.
На протязі декількох годин в селі тривали погроми будинків, в яких проживали особи ромської національності. В результаті народного гніву було розгромлено близько 6-7 будинків, в яких проживало приблизно 12 циганських сімей.",27.08.2016,,Мешканці села,Роми,Місцева влада,"<a href=""https://bessarabiainform.com/2016/08/izmailskij-r-n-iz-za-ubijstva-rebenka-v-loshhinovke-mestnye-zhiteli-krushili-tsyganskie-doma/"" target=""_blank"">Лінк1</a>
<a href=""https://www.bbc.com/russian/news-37209351"" target=""_blank"">Лінк2</a>
<a href=""https://meduza.io/feature/2016/08/30/tsyganskiy-pogrom-posle-ubiystva-rebenka-v-odesskoy-oblasti-glavnoe"" target=""_blank"">Лінк3</a>
<a href=""https://zn.ua/UKRAINE/v-odesskoy-oblasti-ustroili-cyganskiy-pogrom-i-postanovili-vyselit-vseh-romov-iz-sela-222686_.html"" target=""_blank"">Лінк4</a>
<a href=""https://www.youtube.com/watch?v=GkHdvx1jj5c"" target=""_blank"">Лінк5</a>",27.08.2016,"Обурення місцевих мешканців способом життя циган в селищі (грабежами, розповсюдженням наркотиків, вимаганням, залякуванням місцевого населення), а також вбивством дитини.",TRUE,TRUE,TRUE,справа у суді,TRUE,Було подано звернення міністру внутрішніх справ Арсену Авакову і уповноваженому Верховної ради України Валерії Лутковської про утиск циганських сімей цього села.,TRUE
29.10.2018 22:44:31,"Україна, Одеська область, Ізмаїл",45.3501944,28.8501919,Ізмаїльський,Навмисне затягування справи про смертельне ДТП за участю співробітника Ізмаїльської прокуратури.,помірно гострий,девіантний (пов’язаний із вчиненням злочинів),"26 лютого 2017 року селі Кислиці Ізмаїльського району сталося ДТП, в результаті якого загинула жінка-пішохід. В результаті слідчих дій було встановлено, що за кермом автомобіля-вбивці знаходився співробітник ізмаїльської прокуратури Євген Чабан.
Після передачі справи до суду, колеги даного екс-прокурора навмисно затягують винесення вироку.",29.01.2018,,Громадськість.,Усі процесуальні керівники у даній справі.,-,"<a href=""https://bessarabiainform.com/2018/01/eks-prokuror-obvinyaemyj-v-smertelnom-dtp-na-zasedanii-izmailskogo-suda-bespokoilsya-lish-o-svoih-materialnyh-interesah/"" target=""_blank"">Лінк1</a>
<a href=""https://bessarabiainform.com/2018/06/delo-o-smertelnom-dtp-v-kislitse-sud-otkazalsya-pomestit-eks-prokurora-pod-domashnij-arest/"" target=""_blank"">Лінк2</a>
<a href=""https://bessarabiainform.com/2018/03/delo-eks-prokurora-o-smertelnom-dtp-v-kislitse-uhodit-v-apellyatsionnyj-sud-stepan-pepelyashkov-vzyal-samootvod/"" target=""_blank"">Лінк3</a>
<a href=""https://antikor.com.ua/articles/215236-prokurora-ubijtsu_na_odeschine_evgenija_chabana_budet_suditj_sudjja-kompanjon"" target=""_blank"">Лінк4</a>
<a href=""http://dunay-region.info/news/obshestvenniki-obratilis-k-prokuroru/"" target=""_blank"">Лінк5</a>",30.01.2018,Затягування працівниками прокуратури винесення вироку про смертельне ДТП відносно свого колеги.,Ні,Ні,TRUE,справа у суді,TRUE,Звернення до прокурора Одеської області Олега Дем'яновича.,TRUE
05.11.2018 02:38:14,"Україна, Одеська область, Ізмаїл",45.3501944,28.8501919,Ізмаїльський,Підприємці які торгують на ізмаїльському центральному ринку протестують проти скорочення робочих місць.,помірно гострий,бізнесовий,"Понад 100 працівників Ізмаїльського центрального ринку вийшли на мітинг, протестуючи проти скорочення робочих місць.
Адміністрація ринку планує в 2017 році провести його реконструкцію, замінивши контейнери на «нові дорогі бутики». Це спричинить за собою зменшення кількості торгових місць. Крім того керівництво ринку поставило підприємцям наступний ультиматум: перед початком будівництва кожен повинен здати в ринкову касу від 5 тисяч доларів США, при цьому, «що конкретно входить в цю суму, ніхто достеменно не знає».
Сплативши майбутнє будівництво бутика, бізнесмен потім повинен буде продати його ринку за 1 гривню.",12.12.2016,,Працівникі Ізмаїльського центрального ринку,Адміністрація ринку,-,"<a href=""http://timer-odessa.net/news/v_izmaile_iz_za_poborov_v_5_tisyach_bastuyut_rabotniki_tsentralnogo_rinka_142.html"" target=""_blank"">Лінк1</a>
<a href=""https://bessarabiainform.com/2016/12/net-deneg-net-rabochego-mesta-v-izmaile-bastuyut-rabotniki-tsentralnogo-rynka-foto/"" target=""_blank"">Лінк2</a>
<a href=""https://odessanews.net/news/%D0%B1%D0%B0%D0%B7%D0%B0%D1%80%D0%BD%D1%8B%D0%B9-%D1%81%D0%BA%D0%B0%D0%BD%D0%B4%D0%B0%D0%BB-%D0%B2-%D0%B8%D0%B7%D0%BC%D0%B0%D0%B8%D0%BB%D0%B5-%D0%BF%D0%BE%D0%B1%D1%83%D0%B4%D0%B8%D0%BB-%D0%BF%D1%80/"" target=""_blank"">Лінк3</a>",12.12.2016,"Керівництво ринку в ультимативній формі робить заміну торгових точок. Збираючи з бізнесменів гроші на реконструкцію, але не надаючи ніяких гарантій в замін.",FALSE,FALSE,FALSE,Невідомо,FALSE,"Працівники ринку передали міському голові письмове звернення зі своїми вимогами, під яким підписалися близько 150 чоловік.",TRUE
05.11.2018 02:58:09,"Україна, Одеська область, Ізмаїл",45.3501944,28.8501919,Ізмаїльський,Назріваючий етнічний конфлікт між жителями міста і ромської громадою.,гострий,міжнаціональний,"Терпіння жителів міста готове лопнути через свавілля місцевих ромів. Крадіжки, загрози, торгівля наркотиками стали нормою для місць компактного проживання осіб ромської національності. Все це відбувається при повній бездіяльності правоохоронних органів.",01.01.2013,,Мешканці міста,Ромська громада,Правоохоронні органи.,"<a href=""http://www.izmacity.com/novosti/skandal/5790-pogrom-mozhet-vspyxnut-v-izmaile-v-lyuboj-moment?fbclid=IwAR3tCGk9Qw9YeGQd1dG88Ysft5z624nYSI4SC54-h71jfxNwhjef0A9TB9I"" target=""_blank"">Лінк1</a>",19.07.2013,"Мешканці міста готові вчинити ""циганський погром"", якщо влада терміново не вирішить проблему свавілля ромів.",TRUE,FALSE,TRUE,Невідомо,FALSE,,FALSE
05.11.2018 03:34:24,"Україна, Одеська область, Ренійський район, Орловка",45.3204643,28.4454511,Ренійський,"Земельний конфлікт з погрозою застосування  вогнепальної зброї, стався між представниками двох агропромислових фірм ..",помірно гострий,бізнесовий,"Представники однієї аграрної фірми засіяли кукурудзою поле, що належить іншій фірмі. При спробі власника поля зібрати урожай виник конфлікт, який переріс у загрозу застосування вогнепальної зброї.
Правоохоронці порушили кримінальну за ст. 129 Кримінального кодексу України (Погроза вбивством), ст. 263 (Незаконне поводження зі зброєю) та ст. 356 (Самоправство).",03.10.2018,,СВК «Буджак»,ПП «Влахас»,-,"<a href=""http://trassae95.com/jug/news/2018/10/05/odin-iz-fermerov-ugrozhal-drugomu-oruzhiem-vo-vremya-zemeljnogo-konflikta-na-yuge-odescshiny-48949.html"" target=""_blank"">Лінк1</a>
<a href=""https://bessarabiainform.com/2018/10/voruyut-kukuruzu-s-polya-i-ugrozhayut-avtomatami-zemelnyj-konflikt-v-renijskom-rajone/"" target=""_blank"">Лінк2</a>",05.10.2018,Загроза використання вогнепальної зброї при вирішенні земельного конфлікту.,FALSE,FALSE,FALSE,подано до суду,TRUE,,FALSE
05.11.2018 04:07:55,"Україна, Одеська область, Рені",45.457057,28.2888529,Ренійський,"Батьківські збори в школі переросли в бійку, після якої в поліцію зі скаргою на побої звернулася співробітниця міськвиконкому",негострий,девіантний (пов’язаний із вчиненням злочинів),"Хамство чиновниці міськвиконкому, а також агресивна поведінка її дитини в школі призвела до конфлікту, який переріс в побиття вищеназваної особи.
Жінка звернулася в поліцію із заявою про побиття.
Місцева влада замовчує про конфлікт.",08.05.2018,,Чиновниця міськвиконкому,Батьки учнів школи №3 м. Рені,-,"<a href=""https://www.unian.net/incidents/10109744-terpenie-lopnulo-v-odesskoy-oblasti-na-shkolnom-roditelskom-sobranii-pobili-chinovnicu.html"" target=""_blank"">Лінк1</a>",08.05.2018,Людям набридло терпіти хамство збоку представників влади і вони готові піти на застосування фізичної сили.,FALSE,FALSE,FALSE,подано до суду,TRUE,,FALSE